ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,RILAK,NSCDIS,NPARK,URSUB,D_PMSP,D_PCBD,D_PRAILS
6000,10180,78,1,2,2010,0,0,0,0,1073.586845,1567,2751.086
6001,9650,81.23,2,4,2003,0,0,0,0,747.9861081,957,1882.911
6003,7770,39,1,5,2003,0,0,0,2,727.8434544,945,1870.566
6004,9650,99,1,5,2000,0,0,0,0,1512.41088,1360,2501.87
6006,9720,102,1,3,2002,0,0,0,2,1519.3416,1341,2482.666
6007,10890,37,1,11,2008,0,0,0,0,1658.828839,1641,2566.567
6013,7320,145,1,1,2007,0,0,0,0,372.1784409,1260,2185.622
6014,8480,76,1,3,2007,0,0,0,0,352.0572385,1246,2172.019
6016,6600,68.05,1,4,2010,0,0,0,0,928.603884,1815,2741.025
6019,4770,74,1,1,2003,0,0,0,0,1381.98669,2157,3082.775
6021,4150,97,1,3,2006,0,0,0,0,1417.114134,2183,3108.731
6022,7740,78,1,2,2000,0,0,0,0,391.4500181,1060,1985.511
6023,9970,76,1,5,2002,0,0,0,2,397.893478,1059,1984.823
6024,9280,93,1,4,2002,0,0,0,0,375.9425915,1074,1999.859
6025,7740,78,1,2,1998,0,0,0,0,679.0747528,1044,1969.598
6028,9220,142,2,2,2005,0,0,0,2,993.3080344,1184,2109.538
6029,9030,121,2,16,2005,0,0,0,0,994.0826508,1191,2116.886
6030,9460,121,2,5,2006,0,0,0,2,990.3803013,1192,2117.924
6033,5250,55.7,1,5,1996,0,0,0,0,10283.92877,4820,5745.094
6034,6330,54,1,5,1990,0,0,0,2,1343.726876,1991,2917.084
6035,6580,53,1,1,1993,0,0,0,0,1360.826868,1996,2921.797
6039,7960,62.85,1,5,2009,0,0,0,0,476.9694947,1606,2531.157
6041,5930,130,2,5,2004,0,0,0,0,1113.860879,1791,2716.365
6042,5200,94,1,5,2005,0,0,0,0,1118.926633,1707,2632.129
6044,6530,78,1,3,2003,0,0,0,2,1130.071267,1711,2636.556
6047,8810,76.32,2,13,2009,0,0,0,2,211.7953272,828,1753.365
6049,7560,46,1,3,1980,0,0,0,0,851.7597539,1108,2033.782
6052,7450,45,1,1,1985,0,0,0,2,636.6186421,910,1835.232
6054,7500,49,1,6,1990,0,0,0,0,642.4636643,903,1828.622
6055,8440,64,1,1,1990,0,0,0,0,346.1731656,772,1697.617
6056,8510,98,1,3,2000,0,0,0,0,361.9344356,784,1709.235
6057,7960,130,2,2,2001,0,0,0,0,359.5480118,779,1704.611
6062,4810,87,1,14,2010,0,0,0,2,1443.957334,2282,3207.699
6069,9000,125,2,3,2002,0,0,0,2,516.3981139,838,1763.567
6072,9360,90,1,5,2006,0,0,0,0,508.4004435,848,1773.633
6075,4160,109,1,5,2003,0,0,0,0,2046.524589,2251,3176.535
6080,8230,118.29,1,10,2009,0,0,0,0,1843.312913,1643,2568.958
6084,8240,88.89,1,14,2009,0,0,0,0,1985.975095,1585,2510.481
6088,6690,89.22,1,8,2009,0,0,0,0,1856.89813,1656,2581.677
6089,6780,89.22,1,13,2009,0,0,0,0,2014.112624,1783,2708.284
6090,9650,73.73,2,7,2009,0,0,0,0,1860.372567,1654,2579.132
6094,10300,71.71,2,3,2010,0,0,0,0,1893.472385,1525,2451.008
6100,9240,89.2,1,16,2009,0,0,0,2,1896.437407,1573,2498.72
6103,9240,89.2,1,16,2009,0,0,0,2,1896.903109,1568,2493.111
6104,4820,78.8,1,2,2005,0,0,0,0,1309.033347,2330,3255.543
6105,10630,51.21,1,2,2009,0,0,0,0,530.4050124,1106,2031.94
6106,10490,51.54,1,11,2009,0,0,0,0,535.3920928,1106,2031.905
6107,9920,49,1,5,2009,0,0,0,0,525.1328289,905,1830.821
6108,9060,51.8,1,10,2010,0,0,0,0,541.4610587,916,1841.506
6110,8280,59,1,1,1988,0,0,1,0,518.6139522,1476,2401.472
6111,7710,62,1,6,1990,0,0,1,0,530.3173426,1478,2403.742
6113,4060,120,1,6,2010,0,0,0,0,10757.14818,4492,5417.292
6119,10680,126.69,2,7,2009,0,0,0,2,1038.465061,1147,2072.745
6120,10970,126.69,2,15,2009,0,0,0,0,1007.770993,1171,2096.529
6121,10730,80.66,2,17,2009,0,0,0,2,1081.387337,1210,2135.383
6122,10890,96.78,1,13,2007,0,0,0,0,1028.002661,1178,2104.045
6123,10380,111.9,1,25,2008,0,0,0,0,1035.192564,1173,2098.211
6125,10370,112,1,25,2008,0,0,0,0,513.2303607,959,1884.216
6126,9770,135,2,3,2008,0,0,0,0,536.9140747,959,1885.031
6127,10230,90,1,10,2009,0,0,0,0,518.7498306,944,1869.469
6132,8930,54,1,6,2000,0,0,0,0,422.6135786,1092,2017.422
6135,4110,170,2,7,2009,0,0,0,0,2306.652817,1856,2781.991
6136,7930,53,1,3,1986,0,0,0,2,874.4163999,1194,2119.393
6137,9190,96,1,2,2004,0,0,0,2,889.4243154,1199,2125.041
6138,9940,111.17,2,6,2005,0,0,0,2,884.7860243,1202,2127.264
6142,7710,75,1,2,1995,0,0,0,0,1019.638889,1297,2222.782
6145,7510,75.49,1,6,2002,0,0,0,0,232.7581522,764,1689.499
6146,7590,78,1,7,1996,0,0,0,0,227.0945005,769,1694.095
6147,7960,88,1,4,1997,0,0,0,0,238.0518158,760,1686.017
6148,8260,63,1,3,1988,0,0,0,0,886.579131,1132,2057.203
6151,7630,45.8,1,6,1985,0,0,0,0,890.6615111,1132,2057.881
6153,7990,60,1,2,1990,0,0,0,0,1131.122187,1254,2179.827
6155,7830,60,1,4,1990,0,0,0,0,1126.664406,1249,2174.855
6157,7750,49,1,4,2000,0,0,0,0,1496.512821,1440,2624.455
6158,8140,60.65,1,2,2001,0,0,0,0,1478.259654,1432,2616.122
6164,8880,159.4,2,1,2006,0,0,1,2,1079.542431,1380,2305.534
6165,9540,92,1,9,2006,0,0,1,0,1071.608194,1390,2315.699
6166,10000,98,1,7,2003,0,0,0,0,593.2997215,1005,1930.401
6169,5350,77.3,1,3,2007,0,0,0,0,1269.652241,1932,2857.522
6170,5290,86.19,1,21,2008,0,0,0,0,290.9358644,1673,2598.629
6177,9870,80,1,3,2009,0,0,0,2,1701.228568,1233,2158.557
6179,7520,51.6,1,2,1993,0,0,0,1,1108.029422,1163,711.7399
6180,7370,65,1,5,1998,0,0,0,1,1098.20315,1177,725.9677
6184,7250,54,1,5,1986,0,1,0,1,742.3938095,1571,924.1365
6185,7060,66,1,6,1988,0,1,0,1,730.7689514,1575,928.0915
6186,8140,42,1,2,1990,0,1,0,1,754.5838037,1558,911.5253
6188,7800,58,1,5,1989,0,0,0,1,2525.936982,1361,756.9146
6189,7020,73,1,7,1994,0,0,0,1,2502.684935,1378,773.7872
6192,7490,38,1,4,1995,0,0,0,1,4071.616814,1561,875.0206
6197,9960,140,2,2,2002,1,0,0,1,4041.608298,1609,1152.006
6198,9360,109,1,6,2003,1,0,0,1,4059.299958,1615,1157.198
6200,12510,120.81,2,21,2004,0,0,0,1,4602.262192,1602,577.0562
6202,9010,97,1,20,2005,1,0,0,1,4150.106946,1597,1139.572
6203,6740,56,1,7,1996,0,0,0,1,3735.598835,1627,682.2592
6204,7690,40,1,7,1996,0,0,0,1,3722.279082,1644,699.6252
6206,6720,67.8,1,5,1979,0,0,1,1,4263.042725,1978,832.7849
6207,7310,61,1,6,2000,0,0,1,1,4251.386136,1979,834.01
6208,7470,56,1,2,2004,0,0,1,1,4250.778794,1988,843.5988
6209,6830,130,2,6,2005,0,0,0,1,3933.188837,1932,1236.155
6210,7140,96.3,1,1,2005,0,0,0,1,3920.003945,1918,1222.124
6211,7480,130,2,6,2007,0,0,0,1,3944.869651,1933,1236.827
6213,7900,43.2,1,6,1999,0,0,0,1,1010.545132,1105,653.5867
6214,8800,44,1,2,2000,0,0,0,1,1032.580107,1096,645.3112
6216,7530,129.85,2,3,2009,0,1,0,1,586.3161036,1212,761.5282
